Feature,Importance
MonthlyIncome,0.07550847812557379
Age,0.074360350842266
TotalWorkingYears,0.05896477854190539
DailyRate,0.05665532740791023
MonthlyRate,0.05172586241052275
YearsAtCompany,0.04784758767446283
DistanceFromHome,0.04632467811120506
HourlyRate,0.04545703287811233
OverTime,0.04440584536575376
NumCompaniesWorked,0.04048364157026987
YearsWithCurrManager,0.03677953423812854
PercentSalaryHike,0.03619772994552231
YearsInCurrentRole,0.0334082143028395
JobRole,0.032161450701203895
StockOptionLevel,0.03167263934489247
